N,P,K,temperature,humidity,ph,rainfall,label
23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,14
2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,0
14,121,203,9.724457611,83.74765639,6.158689406,74.46411148,7
39,70,15,20.76774783,63.90164154,6.366355781,47.9271552,10
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,20
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,11
64,53,38,26.24347471,78.51063754,6.855362875,183.4065252,8
12,20,10,24.45132792,93.10527686,6.528354932,109.4711098,16
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,2
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,10
61,41,35,24.97178693,79.47557931,6.842966479,195.7571622,8
5,18,14,33.1056981,93.48447453,7.434118807,119.1709113,16
4,36,22,27.60887393,86.13316408,7.012740397,43.80041104,14
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,6
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,5
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,2
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,13
5,8,5,11.03367937,92.22706805,6.562594972,112.7715925,16
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,20
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,14
35,80,25,28.09269012,44.93322042,4.895927306,197.1144011,18
4,24,43,22.40423537,88.1508343,7.199504273,109.8695196,19
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,15
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,14
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,20
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,12
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,11
70,38,35,24.39736241,79.26861738,7.014063944,164.2697011,8
19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,0
34,21,42,18.75927679,89.93457597,6.648687274,111.0196744,19
61,51,51,39.30050027,94.16193416,6.574677594,120.9512466,17
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,21
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,3
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,20
32,120,204,10.38004759,83.44518113,6.138958698,67.3917379,7
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,13
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,11
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,1
63,37,43,23.41798979,85.08640476,6.661957897,185.7446728,8
22,23,44,20.13037175,89.31505137,6.143874691,107.3416913,19
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,20
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,7
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,3
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,15
26,72,22,28.76794904,37.57792132,4.674941549,91.72084869,18
49,55,53,38.4418717,93.63739039,6.544029776,77.71566883,17
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,1
13,126,204,23.1094265,92.79630809,6.383180271,108.183792,0
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,2
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,2
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,3
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,3
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,11
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,2
